x	E1681
0	1
0.15	1.00355
0.3	1.00824
0.45	1.01411
0.5	1.01632
0.65	1.01674
0.8	1.01707
0.95	1.01735
1.1	1.0176
1.25	1.01782
1.4	1.01802
1.5	1.01815
1.64286	1.02357
1.78647	1.02979
1.93136	1.03684
2.06337	1.04391
2.19728	1.0517
2.22993	1.05368
2.28605	1.05715
2.36095	1.06196
2.45087	1.06803
2.49766	1.07127
2.5	1.07143
2.58169	1.07182
2.67703	1.07221
2.78331	1.07258
2.89833	1.07295
3	1.07324
3.12154	1.06581
3.24799	1.05844
3.37915	1.0512
3.51408	1.04423
3.65202	1.03765
3.79237	1.03154
3.93466	1.02593
4	1.02355
4.14506	1.0233
4.29111	1.02313
4.43795	1.02299
4.5	1.02294
4.64798	1.0282
4.69744	1.03013
4.76701	1.033
4.85266	1.0368
4.95118	1.04151
5.06	1.04712
5.12132	1.05045
5.18002	1.05377
5.25699	1.05831
5.34856	1.06392
5.45021	1.07053
5.5	1.0739
5.61906	1.0743
5.74431	1.07463
5.87451	1.07492
6	1.07516
6.13733	1.06674
6.27719	1.05865
6.41908	1.05094
6.56259	1.04371
6.7074	1.03705
6.85325	1.03096
6.99992	1.02544
7	1.02543
7.14787	1.02509
7.29617	1.02482
7.44481	1.02459
7.5	1.02451
7.64913	1.02962
7.72734	1.03263
7.81793	1.03639
7.92041	1.04103
8.0324	1.04654
8.14059	1.05228
8.2532	1.05869
8.28751	1.06072
8.33403	1.06353
8.39841	1.06754
8.47992	1.07285
8.5	1.0742
8.60616	1.0745
8.72109	1.07474
8.84304	1.07495
8.97059	1.07514
9	1.07519
9.13564	1.06689
9.27414	1.05888
9.41495	1.05123
9.5576	1.04407
9.70171	1.03745
9.84701	1.03139
9.99324	1.02589
10	1.02566
10.1476	1.02526
10.2957	1.02494
10.4441	1.02466
10.5	1.02456
10.649	1.02952
10.7485	1.03329
10.8567	1.03781
10.9732	1.04317
11.0965	1.04939
11.1638	1.053
11.2477	1.05772
11.3078	1.06126
11.3835	1.06585
11.474	1.07163
11.5	1.07335
11.6119	1.07363
11.7315	1.07384
11.8571	1.07403
11.9876	1.07418
12	1.0742
12.1375	1.06582
12.2775	1.05776
12.4196	1.0501
12.5632	1.04296
12.7081	1.03638
12.854	1.03037
13	1.02497
13.1474	1.02454
13.2953	1.02419
13.4436	1.02388
13.5	1.02377
13.6489	1.02862
13.7626	1.03288
13.8835	1.03794
14.0102	1.04384
14.1416	1.05057
14.1802	1.05265
14.238	1.05587
14.3143	1.06032
14.4053	1.06584
14.5	1.07192
14.6122	1.07218
14.732	1.07238
14.8579	1.07254
14.9886	1.07268
15	1.07269
15.1376	1.06436
15.2777	1.05632
15.4198	1.04871
15.5635	1.04162
15.7084	1.0351
15.8544	1.02914
16	1.02381
16.1474	1.02337
16.2953	1.023
16.4437	1.02268
16.5	1.02256
16.6489	1.02732
16.7839	1.03236
16.9218	1.03822
17.0622	1.0449
17.1909	1.05166
17.1971	1.052
17.2185	1.05318
17.2656	1.05583
17.3332	1.0598
17.4174	1.06491
17.5	1.07019
17.6078	1.07043
17.7241	1.07062
17.8471	1.07078
17.9756	1.07091
18	1.07093
18.1362	1.06273
18.2751	1.05479
18.4146	1.04735
18.5562	1.04039
18.6995	1.03396
18.8441	1.02808
18.9898	1.02275
19	1.02241
19.1472	1.02196
19.295	1.02158
19.4433	1.02125
19.5	1.02113
19.6489	1.02581
19.798	1.03135
19.9471	1.03772
20.0964	1.04493
20.2103	1.05097
20.3314	1.05789
20.3676	1.06005
20.4098	1.0626
20.4735	1.0666
20.5	1.06831
20.5948	1.06854
20.7006	1.06871
20.8153	1.06886
20.937	1.06899
21	1.06905
21.1319	1.06114
21.2674	1.05342
21.4058	1.04605
21.5466	1.03914
21.6892	1.03276
21.8332	1.02691
21.9785	1.02162
22	1.02089
22.147	1.02043
22.2945	1.02005
22.4426	1.01971
22.5	1.01959
22.6488	1.0242
22.7978	1.02967
22.947	1.03597
23.0963	1.04312
23.2245	1.0499
23.2349	1.05048
23.2601	1.05188
23.3102	1.05475
23.3703	1.05831
23.4348	1.06225
23.5	1.06638
23.5953	1.0666
23.7015	1.06677
23.8165	1.06692
23.9384	1.06705
24	1.06711
24.1321	1.05923
24.2677	1.05155
24.4062	1.04422
24.5471	1.03737
24.6897	1.03104
24.8338	1.02524
24.9791	1.02
25	1.01931
25.147	1.01885
25.2946	1.01846
25.4427	1.01812
25.5	1.018
25.6488	1.02255
25.7978	1.02795
25.947	1.0342
26.0964	1.04129
26.2316	1.04842
26.2445	1.04913
26.2719	1.05066
26.3237	1.05364
26.3816	1.05708
26.4554	1.0616
26.5	1.06442
26.6012	1.06466
26.7122	1.06484
26.831	1.06499
26.956	1.06512
27	1.06516
27.134	1.05721
27.2712	1.04949
27.411	1.04216
27.5528	1.03533
27.6963	1.02905
27.841	1.02331
27.9868	1.01814
28	1.01771
28.1473	1.01724
28.2952	1.01686
28.4435	1.01652
28.5	1.01639
28.6489	1.02089
28.798	1.02624
28.9473	1.03243
29.0968	1.03948
29.2463	1.04737
29.3603	1.05391
29.3949	1.05598
29.4526	1.05951
29.5	1.0625
29.5798	1.06269
29.6736	1.06286
29.7786	1.06301
29.8927	1.06314
30	1.06324
30.127	1.05574
30.2586	1.04834
30.3938	1.04123
30.5321	1.03455
30.6726	1.02835
30.8151	1.02265
30.9591	1.01749
31	1.01613
31.1461	1.01567
31.2931	1.01529
31.4406	1.01495
31.5	1.01481
31.6484	1.01923
31.7972	1.02452
31.8468	1.02645
31.9165	1.02933
32.0023	1.03314
32.101	1.03786
32.2099	1.04351
32.2656	1.04656
32.3402	1.05081
32.4043	1.05463
32.4856	1.05965
32.5	1.06056
32.606	1.06081
32.7208	1.061
32.8426	1.06116
32.9701	1.0613
33	1.06133
33.1356	1.05335
33.274	1.04565
33.4148	1.03838
33.5574	1.03164
33.7015	1.02545
33.8468	1.01982
33.993	1.01477
34	1.01454
34.1476	1.01408
34.2956	1.01369
34.4441	1.01335
34.5	1.01323
34.649	1.01761
34.7982	1.02287
34.8622	1.02536
34.9434	1.02876
35.0384	1.03306
35.1444	1.03826
35.2592	1.04438
35.38	1.05132
35.42	1.05373
35.4762	1.05719
35.5	1.05869
35.5879	1.05891
35.6882	1.05909
35.7985	1.05925
35.9167	1.05939
36	1.05947
36.1297	1.05187
36.2634	1.04444
36.4003	1.03737
36.5399	1.03075
36.6816	1.02463
36.8249	1.01904
36.9696	1.014
37	1.01302
37.1466	1.01255
37.2939	1.01217
37.4417	1.01183
37.5	1.0117
37.6486	1.01602
37.7975	1.02121
37.8756	1.02425
37.9661	1.02807
38.0685	1.03278
38.1804	1.03838
38.2886	1.04424
38.4051	1.05103
38.4322	1.05267
38.4839	1.05586
38.5	1.05687
38.5849	1.05708
38.6829	1.05727
38.7912	1.05743
38.9079	1.05757
39	1.05767
39.1287	1.05015
39.2616	1.0428
39.398	1.03579
39.5371	1.02923
39.6783	1.02316
39.8213	1.01762
39.9657	1.01262
40	1.01153
40.1464	1.01106
40.2936	1.01068
40.4413	1.01034
40.5	1.01021
40.6485	1.01448
40.7974	1.01961
40.8896	1.02321
40.9847	1.02725
41.0908	1.03218
41.2057	1.03801
41.2985	1.04307
41.4028	1.04913
41.4445	1.05166
41.4976	1.05494
41.5	1.0551
41.5858	1.05532
41.6845	1.0555
41.7935	1.05567
41.9106	1.05581
42	1.05591
42.129	1.04841
42.2622	1.04108
42.3987	1.03411
42.5379	1.02759
42.6793	1.02156
42.8224	1.01607
42.9669	1.01112
43	1.01007
43.1465	1.00961
43.2937	1.00923
43.4414	1.00889
43.5	1.00876
43.6486	1.01298
43.7974	1.01807
43.8968	1.02192
44.0063	1.02661
44.1239	1.03217
44.248	1.03861
44.3157	1.04235
44.3999	1.04724
44.4555	1.05063
44.5	1.05338
44.5896	1.0536
44.6913	1.05379
44.8026	1.05396
44.9217	1.05411
45	1.0542
45.1302	1.04666
45.2644	1.03932
45.4017	1.03236
45.5416	1.02587
45.6835	1.01988
45.827	1.01443
45.9718	1.00954
46	1.00866
46.1467	1.0082
46.294	1.00781
46.4419	1.00747
46.5	1.00734
46.6486	1.01152
46.7976	1.01656
46.9112	1.02097
47.0311	1.02617
47.157	1.03222
47.2877	1.03916
47.3262	1.04131
47.387	1.04482
47.4656	1.04957
47.5	1.05171
47.5989	1.05195
47.708	1.05216
47.8254	1.05233
47.9492	1.05248
48	1.05254
48.1333	1.04485
48.2699	1.03744
48.4092	1.03044
48.5506	1.02396
48.6937	1.01801
48.8382	1.01261
48.9839	1.00778
49	1.00729
49.1472	1.00682
49.2949	1.00644
49.4431	1.0061
49.5	1.00597
49.6488	1.01011
49.7979	1.01512
49.9188	1.01979
50.0454	1.0253
50.1768	1.03167
50.3118	1.03891
50.4485	1.04692
50.4779	1.04872
50.5	1.05009
50.5702	1.05029
50.6564	1.05046
50.7553	1.05063
50.8644	1.05078
50.9818	1.05092
51	1.05094
51.1291	1.04352
51.2623	1.0363
51.399	1.02944
51.5382	1.02305
51.6797	1.01715
51.8228	1.01179
51.9673	1.00697
52	1.00597
52.1465	1.00551
52.2937	1.00512
52.4414	1.00478
52.5	1.00465
52.6486	1.00874
52.7974	1.01369
52.9323	1.01891
53.0698	1.02495
53.2098	1.03186
53.3382	1.03886
53.3881	1.04173
53.4484	1.04534
53.4853	1.0476
53.5	1.04851
53.5776	1.04872
53.6696	1.04891
53.7733	1.04908
53.8862	1.04924
54	1.04937
54.1263	1.04214
54.2573	1.03505
54.3921	1.0283
54.5299	1.02199
54.6702	1.01614
54.8124	1.01081
54.9562	1.00602
55	1.00469
55.146	1.00422
55.2928	1.00384
55.4403	1.0035
55.5	1.00337
55.6484	1.0074
55.7971	1.0123
55.9389	1.01777
56.0824	1.0241
56.2272	1.0313
56.3522	1.03815
56.4672	1.04497
56.4969	1.04679
56.5	1.04699
56.5584	1.04716
56.6352	1.04733
56.7266	1.04749
56.8297	1.04765
56.9422	1.04779
57	1.04786
57.126	1.04067
57.2568	1.03363
57.3914	1.02692
57.5291	1.02065
57.6693	1.01484
57.8115	1.00955
57.9552	1.0048
58	1.00344
58.146	1.00298
58.2928	1.00259
58.4402	1.00225
58.5	1.00212
58.6483	1.00611
58.797	1.01097
58.946	1.0167
59.0951	1.02329
59.2445	1.03077
59.3583	1.03703
59.3687	1.03763
59.3859	1.03862
59.4297	1.04119
59.4947	1.04516
59.5	1.04549
59.5956	1.04574
59.7021	1.04595
59.8173	1.04613
59.9394	1.0463
60	1.04637
60.1322	1.03886
60.2662	1.03171
60.4035	1.02496
60.5433	1.01868
60.6851	1.01291
60.8286	1.00768
60.9734	1.00301
61	1.00222
61.1467	1.00175
61.294	1.00137
61.4418	1.00103
61.5	1.0009
61.6486	1.00485
61.7975	1.00969
61.9467	1.01538
62.096	1.02195
62.2454	1.0294
62.3665	1.03606
62.3775	1.03669
62.3953	1.03772
62.4396	1.04034
62.5	1.04404
62.5823	1.04426
62.6782	1.04446
62.7849	1.04464
62.9002	1.0448
63	1.04493
63.1278	1.03769
63.2601	1.03065
63.3959	1.02397
63.5345	1.01775
63.6755	1.01201
63.8182	1.00681
63.9624	1.00215
64	1.00104
64.1463	1.00057
64.2933	1.00019
64.4409	0.999847
64.5	0.999718
64.6485	1.00363
64.7973	1.00841
64.9463	1.01407
65.0955	1.02059
65.2449	1.02801
65.373	1.03505
65.3851	1.03574
65.4118	1.03729
65.4631	1.04035
65.5	1.04262
65.5868	1.04286
65.6863	1.04306
65.7959	1.04325
65.9136	1.04342
66	1.04353
66.1293	1.03624
66.2627	1.02917
66.3995	1.0225
66.5389	1.01629
66.6804	1.01059
66.8236	1.00542
66.9682	1.00081
67	0.999886
67.1465	0.999421
67.2937	0.999036
67.4415	0.998697
67.5	0.99857
67.6486	1.00244
67.7974	1.0072
67.9465	1.01282
68.0958	1.01931
68.2452	1.0267
68.3805	1.03412
68.3919	1.03478
68.4179	1.03629
68.4687	1.03932
68.5	1.04125
68.5865	1.04148
68.6857	1.04169
68.7951	1.04188
68.9126	1.04205
69	1.04217
69.1292	1.03491
69.2626	1.02788
69.3992	1.02124
69.5386	1.01507
69.6801	1.00941
69.8233	1.00428
69.9678	0.999705
70	0.998773
70.1465	0.998308
70.2937	0.997923
70.4415	0.997585
70.5	0.997457
70.6486	1.00129
70.7974	1.00601
70.9465	1.01159
71.0958	1.01805
71.2452	1.0254
71.3876	1.03322
71.4037	1.03414
71.4263	1.03546
71.4743	1.03834
71.5	1.03991
71.5848	1.04015
71.6826	1.04036
71.7908	1.04055
71.9074	1.04072
72	1.04084
72.1286	1.03365
72.2615	1.02667
72.3978	1.02008
72.5369	1.01395
72.6781	1.00832
72.8211	1.00323
72.9655	0.998685
73	0.997695
73.1464	0.99723
73.2935	0.996845
73.4412	0.996507
73.5	0.996379
73.6485	1.00018
73.7974	1.00485
73.9464	1.01041
74.0957	1.01683
74.2451	1.02415
