x	E1681
0	1
0.15	1.00355
0.3	1.00824
0.45	1.01411
0.6	1.0166
0.75	1.01696
0.9	1.01726
1.05	1.01752
1.2	1.01775
1.35	1.01796
1.5	1.01815
1.65	1.01919
1.8	1.02197
1.95	1.02655
2.1	1.03288
2.25	1.04069
2.32143	1.04474
2.39286	1.04888
2.48	1.05394
2.57971	1.05943
2.68949	1.06469
2.8073	1.06913
2.91381	1.07161
3.02782	1.07249
3.14903	1.07145
3.27599	1.06805
3.40757	1.06275
3.54282	1.05605
3.68103	1.04862
3.8216	1.0413
3.96405	1.03481
4.10801	1.02961
4.25318	1.02592
4.39932	1.02382
4.54623	1.02334
4.69375	1.02452
4.84177	1.02742
4.94779	1.03054
5.06139	1.03491
5.18228	1.04055
5.30898	1.04728
5.36528	1.05042
5.44032	1.05464
5.52607	1.05933
5.61495	1.06381
5.71438	1.06821
5.82392	1.07187
5.94156	1.07416
6.06566	1.07434
6.19495	1.07225
6.32838	1.06793
6.46512	1.06181
6.60452	1.05451
6.74574	1.04693
6.88872	1.03987
7.03311	1.03391
7.17862	1.02938
7.32502	1.02641
7.47215	1.02503
7.61985	1.02527
7.76801	1.02718
7.91653	1.03082
7.98031	1.0329
8.0483	1.03546
8.1327	1.03911
8.23021	1.04386
8.33822	1.04961
8.39365	1.05266
8.468	1.05672
8.54043	1.06056
8.62838	1.06484
8.72873	1.06905
8.83902	1.07244
8.95725	1.07445
9.08183	1.07427
9.2115	1.07185
9.34523	1.06725
9.48222	1.06094
9.62181	1.05359
9.76348	1.04605
9.90682	1.03914
10.0515	1.03337
10.1972	1.02905
10.3438	1.02627
10.4911	1.02506
10.6389	1.02544
10.7872	1.02748
10.9358	1.03123
10.9996	1.03336
11.0806	1.03649
11.1754	1.04072
11.2813	1.04604
11.396	1.0522
11.4129	1.0531
11.4528	1.05525
11.5147	1.05852
11.564	1.06101
11.6333	1.06429
11.7166	1.06773
11.8133	1.07092
11.9206	1.07305
12.0364	1.07366
12.1591	1.07211
12.2873	1.06849
12.4198	1.06302
12.5558	1.05618
12.6946	1.04876
12.8356	1.04158
12.9785	1.03529
13.1228	1.03027
13.2682	1.02673
13.4145	1.02472
13.5616	1.02425
13.7092	1.02536
13.8573	1.02813
14.0058	1.0326
14.1546	1.03868
14.3037	1.04605
14.4245	1.05248
14.5384	1.05846
14.5845	1.06069
14.6514	1.06373
14.7349	1.06701
14.8317	1.06999
14.9392	1.07179
15.0551	1.07209
15.1779	1.07023
15.3061	1.06633
15.4387	1.06066
15.5748	1.05375
15.7136	1.04639
15.8547	1.03937
15.9975	1.03329
16.1418	1.02851
16.2873	1.0252
16.4336	1.02339
16.5807	1.0231
16.7283	1.02438
16.8765	1.02731
17.025	1.03192
17.1738	1.03811
17.3228	1.04551
17.4436	1.05189
17.5675	1.05825
17.6044	1.05997
17.6639	1.06258
17.7415	1.06554
17.8336	1.06827
17.9373	1.07004
18.0502	1.07032
18.1706	1.06862
18.2969	1.06495
18.4279	1.05949
18.5627	1.05273
18.7005	1.04544
18.8408	1.03844
18.9831	1.03233
19.1268	1.02746
19.2719	1.02403
19.4179	1.02207
19.5647	1.0216
19.7122	1.02266
19.8601	1.02536
20.0085	1.02974
20.1572	1.0357
20.3061	1.04292
20.4553	1.05073
20.4695	1.05146
20.5072	1.05342
20.5673	1.05642
20.6305	1.05933
20.6938	1.06194
20.7743	1.06477
20.8688	1.06716
20.9744	1.06841
21.0888	1.0681
21.2104	1.06582
21.3376	1.06153
21.4694	1.05562
21.6049	1.04869
21.7432	1.0415
21.8839	1.0348
22.0265	1.02909
22.1705	1.0247
22.3157	1.02174
22.4619	1.02025
22.6089	1.02023
22.7564	1.02175
22.9045	1.02489
23.0529	1.02968
23.2017	1.036
23.3507	1.04342
23.4714	1.0497
23.4824	1.05027
23.5081	1.0516
23.5587	1.05407
23.6291	1.05735
23.6702	1.0591
23.7228	1.06115
23.7923	1.06339
23.8778	1.06539
23.9762	1.06647
24.085	1.06625
24.202	1.06407
24.3256	1.0601
24.4544	1.0545
24.5833	1.04799
24.7164	1.04107
24.8529	1.03446
24.9921	1.02867
25.1334	1.02405
25.2765	1.02079
25.421	1.01893
25.5665	1.01848
25.713	1.01952
25.8602	1.02211
26.0079	1.02635
26.0785	1.02891
26.1649	1.03251
26.2641	1.03717
26.3734	1.04273
26.4909	1.04879
26.6148	1.05478
26.664	1.05694
26.7334	1.05957
26.8189	1.06214
26.9173	1.06398
27.026	1.06465
27.143	1.06339
27.2666	1.06026
27.3954	1.0553
27.5279	1.04898
27.6639	1.04194
27.8028	1.03501
27.9438	1.02881
28.0866	1.02374
28.2309	1.02002
28.3763	1.01771
28.5227	1.01683
28.6697	1.0174
28.8174	1.0195
28.9655	1.02325
29.0998	1.02802
29.2369	1.03407
29.3765	1.04106
29.5048	1.04763
29.5173	1.04826
29.5536	1.05003
29.6127	1.05281
29.6862	1.05591
29.775	1.05897
29.8761	1.06144
29.987	1.06263
30.1057	1.0621
30.2306	1.05944
30.3606	1.05487
30.4945	1.04876
30.6317	1.04179
30.7714	1.03476
30.9132	1.02835
31.0567	1.02303
31.2014	1.01904
31.3472	1.01647
31.4939	1.01531
31.6412	1.0156
31.789	1.01738
31.9373	1.02077
32.0859	1.02577
32.2348	1.03221
32.3839	1.03963
32.519	1.04649
32.535	1.04729
32.5651	1.04872
32.6193	1.05125
32.6926	1.0543
32.7696	1.05695
32.8612	1.05924
32.9645	1.06064
33.0772	1.06046
33.1973	1.05849
33.3234	1.05451
33.4542	1.04887
33.5889	1.04219
33.7267	1.03521
33.8669	1.02865
34.0091	1.02301
34.1528	1.01862
34.2978	1.01561
34.4438	1.01399
34.5906	1.01378
34.738	1.01501
34.8859	1.01779
35.0343	1.02219
35.1193	1.02538
35.2155	1.02955
35.3224	1.03471
35.438	1.04058
35.5371	1.04554
35.6464	1.05053
35.7359	1.05395
35.8317	1.05676
35.9384	1.05853
36.0538	1.05881
36.1761	1.05707
36.3039	1.05336
36.4361	1.04791
36.572	1.04129
36.7106	1.03429
36.8515	1.02764
36.9943	1.02189
37.1384	1.01738
37.2838	1.01425
37.4301	1.01252
37.5771	1.01217
37.7247	1.01326
37.8728	1.01588
38.0213	1.02011
38.1346	1.02435
38.2543	1.02967
38.3801	1.03588
38.5107	1.04249
38.5555	1.04465
38.6185	1.04752
38.6989	1.05084
38.7528	1.0527
38.8259	1.05477
38.9143	1.05646
39.0151	1.05709
39.1258	1.05621
39.2443	1.05351
39.3691	1.04908
39.4989	1.04321
39.6328	1.0365
39.7699	1.02974
39.9096	1.02356
40.0513	1.0184
40.1947	1.0145
40.3394	1.01195
40.4852	1.01074
40.6318	1.01091
40.7791	1.01252
40.927	1.01567
41.0752	1.02041
41.146	1.02319
41.2326	1.02699
41.3319	1.03176
41.4413	1.03729
41.5589	1.04305
41.6829	1.04843
41.7814	1.05184
41.8853	1.05424
41.9984	1.05531
42.1189	1.05452
42.2453	1.05174
42.3764	1.04705
42.5113	1.0409
42.6492	1.03401
42.7896	1.0272
42.9318	1.0211
43.0756	1.01611
43.2207	1.01243
43.3667	1.01013
43.5136	1.00918
43.661	1.00962
43.809	1.01152
43.9574	1.01499
44.1061	1.02003
44.1557	1.02202
44.2255	1.02506
44.3112	1.02911
44.4099	1.03401
44.5188	1.03947
44.5745	1.04209
44.6402	1.04498
44.7228	1.04822
44.8052	1.05081
44.8908	1.05261
44.9893	1.05353
45.0981	1.05313
45.2152	1.05086
45.3388	1.04683
45.4677	1.04131
45.6008	1.03482
45.7373	1.02809
45.8765	1.02181
46.0179	1.01645
46.161	1.01231
46.3055	1.00949
46.451	1.008
46.5975	1.00783
46.7447	1.00906
46.8924	1.0118
47.0406	1.01611
47.1679	1.02099
47.2992	1.02696
47.4342	1.03364
47.5722	1.04034
47.5988	1.04159
47.6468	1.04362
47.7152	1.04627
47.7999	1.04897
47.8976	1.05108
48.0058	1.05191
48.1224	1.05112
48.2456	1.04842
48.3742	1.04381
48.5071	1.03782
48.6434	1.03113
48.7825	1.02446
48.9237	1.01843
49.0667	1.01348
49.2111	1.00981
49.3566	1.00747
49.503	1.00645
49.6501	1.00677
49.7978	1.00851
49.946	1.01177
50.0945	1.0166
50.1796	1.01999
50.2776	1.02439
50.386	1.02967
50.5028	1.03545
50.6027	1.04013
50.7126	1.04456
50.8305	1.04818
50.9549	1.05007
51.0843	1.04993
51.2179	1.04752
51.3548	1.04299
51.4943	1.03688
51.6359	1.02998
51.7791	1.02313
51.9238	1.01699
52.0694	1.012
52.216	1.00834
52.3633	1.00605
52.511	1.00509
52.6593	1.00549
52.8079	1.00731
52.9567	1.01067
53.1058	1.01558
53.184	1.01872
53.2766	1.02286
53.3806	1.02788
53.4939	1.03348
53.6145	1.03909
53.7409	1.04396
53.8721	1.04739
54.007	1.0487
54.145	1.04756
54.2854	1.04397
54.4276	1.03842
54.5715	1.03165
54.7165	1.0246
54.8626	1.01805
55.0094	1.01252
55.1569	1.00831
55.3049	1.00548
55.4533	1.00401
55.602	1.00387
55.7509	1.00512
55.9001	1.00786
56.0495	1.01216
56.1989	1.01795
56.3485	1.02487
56.4981	1.03224
56.6265	1.03812
56.7591	1.04305
56.8953	1.04627
57.0342	1.04715
57.1753	1.04544
57.3182	1.04132
57.4625	1.03536
57.608	1.02843
57.7543	1.02144
57.9014	1.01513
58.0491	1.00995
58.1972	1.00613
58.3457	1.00368
58.4946	1.00257
58.6436	1.00279
58.7928	1.00444
58.9422	1.0076
59.0917	1.01232
59.2057	1.01687
59.3259	1.02235
59.4521	1.02851
59.583	1.03476
59.6408	1.03724
59.717	1.04019
59.8079	1.04297
59.9107	1.045
60.0229	1.04571
60.1427	1.04462
60.2685	1.04152
60.3992	1.03671
60.5337	1.03062
60.6713	1.02399
60.8114	1.01754
60.9535	1.01185
61.0971	1.00729
61.2421	1.00401
61.388	1.00201
61.5348	1.0013
61.6822	1.00188
61.8301	1.00386
61.9784	1.00733
62.1271	1.01234
62.2122	1.0158
62.3085	1.02016
62.4155	1.02531
62.5312	1.03091
62.6537	1.03634
62.7817	1.04078
62.9141	1.04358
63.05	1.04414
63.1888	1.04222
63.3298	1.03802
63.4726	1.03208
63.6168	1.02525
63.7622	1.01841
63.9085	1.01226
64.0555	1.00724
64.2032	1.00355
64.3513	1.00121
64.4998	1.00017
64.6486	1.00043
64.7976	1.00207
64.9468	1.00521
65.0962	1.00989
65.2243	1.01503
65.3563	1.0211
65.4918	1.02767
65.6302	1.03396
65.677	1.03588
65.7347	1.03795
65.8109	1.04023
65.9018	1.04204
66.0046	1.04284
66.1168	1.04216
66.2365	1.03968
66.3623	1.03543
66.493	1.02981
66.6275	1.02344
66.7651	1.01702
66.9052	1.01116
67.0473	1.00629
67.1909	1.00263
67.3358	1.00023
67.4818	0.999081
67.6285	0.999177
67.7759	1.00059
67.9239	1.00345
68.0722	1.00783
68.2209	1.01363
68.3698	1.02047
68.5189	1.02765
68.6683	1.03418
68.775	1.03785
68.8892	1.0405
69.0106	1.04148
69.1377	1.04048
69.2693	1.03739
69.4047	1.03244
69.543	1.02621
69.6836	1.01953
69.8261	1.01314
69.9701	1.0076
70.1153	1.00324
70.2614	1.00017
70.4083	0.998381
70.5559	0.997851
70.7039	0.998604
70.8523	1.00074
71.0011	1.00437
71.1501	1.0095
71.2353	1.01302
71.3335	1.01748
71.4421	1.02266
71.5589	1.02821
71.6824	1.0334
71.8112	1.03749
71.9442	1.03981
72.0807	1.03985
72.2198	1.03743
72.3611	1.03285
72.5042	1.02672
72.6486	1.01993
72.7941	1.0133
72.9406	1.00748
73.0877	1.00285
73.2355	0.999536
73.3836	0.997526
73.5322	0.996782
73.681	0.997314
73.8301	0.999211
73.9793	1.00259
74.1287	1.00749
74.2498	1.01245
74.3766	1.01829
74.5081	1.02458
74.6432	1.03061
74.7222	1.03356
74.8153	1.03631
74.9198	1.03834
75.0335	1.03883
75.1544	1.0376
75.2811	1.03448
75.4124	1.02955
75.5475	1.02349
75.6856	1.01702
75.8261	1.01081
75.9684	1.0054
76.1123	1.00113
76.2575	0.998099
76.4035	0.996308
76.5504	0.995732
76.6979	0.996402
76.8459	0.998422
76.9943	1.00191
77.143	1.0069
77.2566	1.01158
77.3774	1.01714
77.504	1.0232
77.6353	1.02904
77.7318	1.03265
77.839	1.03562
77.9547	1.03738
78.0773	1.03742
78.2054	1.0353
78.3378	1.03125
78.4738	1.02567
78.6125	1.01927
78.7536	1.0128
78.8964	1.0069
79.0406	1.00203
79.186	0.99839
79.3324	0.996005
79.4794	0.994846
79.6271	0.994906
79.7752	0.996254
79.9237	0.999012
80.0725	1.00327
80.2215	1.00896
80.3707	1.01569
80.5201	1.02278
80.6696	1.02922
80.748	1.03197
80.8407	1.03445
80.9448	1.03616
81.0582	1.03628
81.1788	1.03469
81.3053	1.03127
81.4366	1.02617
81.5715	1.02007
81.7095	1.01368
81.8499	1.00765
81.9922	1.0025
