x	N211
0.01	-0.000875537
0.02036	-0.00132231
0.031381	-0.00167396
0.0433274	-0.00198624
0.0564444	-0.00228027
0.07097	-0.00256669
0.0871454	-0.00285183
0.105223	-0.00313987
0.125473	-0.00343384
0.14819	-0.0037361
0.173699	-0.00404862
0.202358	-0.00437312
0.234571	-0.0047112
0.270786	-0.00506436
0.311506	-0.00543408
0.357297	-0.00582183
0.408792	-0.0062291
0.466704	-0.0066574
0.5	-0.00689487
0.572105	-0.00737553
0.649789	-0.00786126
0.731936	-0.00834492
0.817654	-0.00882207
0.906228	-0.00929003
0.997088	-0.00974728
1.08978	-0.0101931
1.18393	-0.0106271
1.27925	-0.0110495
1.3755	-0.0114606
1.47251	-0.0118606
1.5	-0.0119729
1.59808	-0.0123608
1.69753	-0.012742
1.79906	-0.01312
1.90328	-0.0134969
2.01069	-0.0138747
2.12172	-0.0142547
2.23676	-0.0146379
2.35616	-0.0150254
2.48025	-0.0154177
2.60932	-0.0158154
2.74366	-0.016219
2.88358	-0.0166289
3.02935	-0.0170454
3.18126	-0.0174689
3.33959	-0.0178996
3.50466	-0.0183378
3.67676	-0.0187838
3.85621	-0.0192378
4.04333	-0.0197
4.23846	-0.0201707
4.44195	-0.0206502
4.65416	-0.0211386
4.87547	-0.0216362
5.10627	-0.0221432
5.34697	-0.0226599
5.59801	-0.0231864
5.85981	-0.0237231
6.13286	-0.0242702
6.41762	-0.0248279
6.71461	-0.0253965
7.02434	-0.0259762
7.34738	-0.0265674
7.68427	-0.0271702
8.03564	-0.027785
8.40208	-0.028412
8.78426	-0.0290514
9.18285	-0.0297037
9.59854	-0.0303691
10.0321	-0.0310478
10.4842	-0.0317402
10.9558	-0.0324466
11.4476	-0.0331673
11.9605	-0.0339026
12.4955	-0.0346528
13.0534	-0.0354183
13.6353	-0.0361994
14.2421	-0.0369965
14.875	-0.0378098
15.5351	-0.0386399
16.2235	-0.039487
16.9414	-0.0403516
17.6902	-0.0412339
18.4711	-0.0421345
19.2856	-0.0430537
20.135	-0.0439919
21.0209	-0.0449496
21.9448	-0.0459271
22.9084	-0.0469249
23.9133	-0.0479443
24.9614	-0.048984
26.0545	-0.0500452
27.1945	-0.0511286
28.3835	-0.0522345
29.6235	-0.0533634
30.9167	-0.0545158
32.2655	-0.0556922
33.6721	-0.0568931
35.1392	-0.0581191
36.6692	-0.0593707
38.2649	-0.0606485
39.9291	-0.0619532
41.6648	-0.0632853
43.475	-0.0646455
45.3629	-0.0660345
47.3318	-0.0674528
49.3853	-0.068902
51.5269	-0.0703813
53.7605	-0.0718921
56.09	-0.073435
58.5194	-0.0750107
61.0532	-0.0766197
63.6958	-0.0782626
66.4518	-0.0799399
69.3261	-0.0816519
72.3238	-0.0833989
75.4502	-0.085181
78.7108	-0.0869982
82.1114	-0.088851
85.658	-0.0907378
89.3569	-0.0926586
93.2146	-0.0946127
97.2378	-0.096599
101.434	-0.0986164
105.81	-0.100663
110.374	-0.102738
115.134	-0.104839
120.098	-0.106963
125.276	-0.109108
130.675	-0.11127
136.307	-0.113447
142.18	-0.115636
148.305	-0.117832
154.694	-0.120032
161.357	-0.122231
168.305	-0.124425
175.552	-0.126609
183.11	-0.128778
190.993	-0.130929
199.214	-0.133054
207.788	-0.13515
216.73	-0.137212
226.056	-0.139233
235.782	-0.141209
245.926	-0.143136
256.505	-0.145008
267.539	-0.146822
279.046	-0.148572
291.047	-0.150255
303.564	-0.151868
316.618	-0.153407
330.232	-0.15487
344.43	-0.156255
359.239	-0.15756
374.683	-0.158785
390.79	-0.159928
407.588	-0.160991
425.108	-0.161974
443.38	-0.162879
462.436	-0.163706
482.31	-0.164458
503.038	-0.165139
524.655	-0.165752
547.201	-0.166299
570.714	-0.166786
595.237	-0.167215
620.813	-0.167591
647.486	-0.167918
675.305	-0.168201
704.318	-0.168443
734.577	-0.168649
766.135	-0.168824
799.047	-0.168969
833.373	-0.169091
869.172	-0.16919
906.508	-0.169271
945.447	-0.169337
986.057	-0.16939
1028.41	-0.169431
1072.58	-0.169464
1118.65	-0.169489
1166.7	-0.169508
1216.81	-0.169523
1269.07	-0.169534
1323.57	-0.169542
1380.42	-0.169548
1439.7	-0.169553
1501.53	-0.169556
1566.01	-0.169558
1633.27	-0.169559
1703.41	-0.169561
1776.56	-0.169561
1852.85	-0.169562
1932.41	-0.169562
2015.39	-0.169562
2101.94	-0.169562
2192.2	-0.169562
2286.33	-0.169562
2384.51	-0.169562
2400	-0.169562
