Nondimentionalized time,Theory radial position 2.97133177mm,FEM radial position 2.97133177mm,Theory radial position 2.99800829mm,FEM radial position 2.99800829mm,Theory radial position 0.0mm,FEM radial position 0.0mm,Theory radial position 2.95887294mm,FEM radial position 2.95887294mm,Theory radial position 1.53020521mm,FEM radial position 1.53020521mm,Theory radial position 2.99922927mm,FEM radial position 2.99922927mm,Theory radial position 2.99043116mm,FEM radial position 2.99043116mm,Theory radial position 2.98005295mm,FEM radial position 2.98005295mm,Theory radial position 0.900120712mm,FEM radial position 0.900120712mm,Theory radial position 1.97126436mm,FEM radial position 1.97126436mm,Theory radial position 2.75330634mm,FEM radial position 2.75330634mm,Theory radial position 2.49612475mm,FEM radial position 2.49612475mm,Theory radial position 2.99342252mm,FEM radial position 2.99342252mm,Theory radial position 2.64740804mm,FEM radial position 2.64740804mm,Theory radial position 2.99872651mm,FEM radial position 2.99872651mm,Theory radial position 2.82743515mm,FEM radial position 2.82743515mm,Theory radial position 2.87932532mm,FEM radial position 2.87932532mm,Theory radial position 2.9995812mm,FEM radial position 2.9995812mm,Theory radial position 2.98615778mm,FEM radial position 2.98615778mm,Theory radial position 2.99982755mm,FEM radial position 2.99982755mm,Theory radial position 2.91564843mm,FEM radial position 2.91564843mm,Theory radial position 2.94107462mm,FEM radial position 2.94107462mm,Theory radial position 2.99698225mm,FEM radial position 2.99698225mm,Theory radial position 3.0mm,FEM radial position 3.0mm,Theory radial position 2.99551648mm,FEM radial position 2.99551648mm,Theory radial position 2.28000576mm,FEM radial position 2.28000576mm
6.088054104727467e-6,0.00032066960966335673,0.000313926,4.8619324968617584e-5,7.81605e-5,0.00032261984475102776,0.000320731,0.00032259794312093247,0.000319515,0.00032264745479267066,0.000320731,1.8908954194553113e-5,3.32229e-5,0.00020617594333093993,0.000234656,0.00030428504259108626,0.0002991,0.0003226499661715786,0.000320731,0.0003226505105133725,0.000320731,0.00032264341528011683,0.000320731,0.00032264955824637273,0.000320731,0.00015158391690144854,0.000191641,0.0003226505634488786,0.000320731,3.1195891774366844e-5,5.2682e-5,0.0003226428202401289,0.000320732,0.00032265552428242545,0.000320731,1.0281098512091913e-5,1.8743e-5,0.00026255760097107007,0.00027216,4.234350445783148e-6,8.16369e-6,0.0003226614713508102,0.000320736,0.000322629132559122,0.000320677,7.310388865375239e-5,0.000110309,-0.0,3.71932e-6,0.00010685979835187194,0.000148807,0.000322647923718916,0.000320731
1.2395278157225124e-5,0.0003051268058628326,0.000300573,3.420817537528299e-5,4.41684e-5,0.0003229301563111293,0.000321052,0.00032101559881964157,0.000315967,0.0003229302067544736,0.000321053,1.3270089033991637e-5,1.74306e-5,0.00015428262477451812,0.000178191,0.00026411548081680015,0.000269867,0.00032293021130502125,0.000321053,0.000322930212351466,0.000321052,0.00032293019923002416,0.000321052,0.00032293021095959883,0.000321052,0.0001097729825250031,0.00013296,0.000322930213069809,0.000321053,2.1910084176607008e-5,2.85322e-5,0.0003229301973107729,0.000321054,0.00032293021593414716,0.000321048,7.2128526941917654e-6,9.61031e-6,0.0002084301047845917,0.000226434,2.9703390964697362e-6,4.12296e-6,0.0003229302177473776,0.00032108,0.0003229042017232168,0.000320569,5.1635445038863423e-5,6.58644e-5,-0.0,1.86212e-6,7.609919496538476e-5,9.51672e-5,0.00032293020741515035,0.000321052
1.9104922586045265e-5,0.0002835692246896582,0.00028371,2.759228434123411e-5,3.29658e-5,0.0003231574109366394,0.000321306,0.0003145292548229942,0.000309433,0.00032315741099848543,0.000321304,1.0694203226026932e-5,1.29237e-5,0.00012720102662786286,0.000144539,0.00023181376922499293,0.000242102,0.00032315741100400673,0.000321305,0.0003231574110053519,0.000321305,0.00032315741098968816,0.000321305,0.0003231574110041114,0.000321305,8.943863974188034e-5,0.000104066,0.00032315741100694763,0.000321305,1.766182277865073e-5,2.12009e-5,0.00032315741098717715,0.000321304,0.00032315741097960654,0.000321305,5.81211258565252e-6,7.11861e-6,0.0001757964678649447,0.000192516,2.3934061759784953e-6,3.05287e-6,0.0003231556461058622,0.000321333,0.00032267382467701027,0.000319525,4.170490714225075e-5,4.95761e-5,-0.0,1.37865e-6,6.163869609823078e-5,7.27068e-5,0.00032315741099905876,0.000321305
2.637795554171689e-5,0.0002622909926328309,0.000265969,2.3502015950400217e-5,2.70657e-5,0.0003233619138493258,0.000321533,0.00030416006475481467,0.000300517,0.0003233619138496402,0.000321527,9.104804218447938e-6,1.05937e-5,0.00010957946527181422,0.000122636,0.00020673088944644604,0.000218158,0.0003233619138496553,0.000321528,0.0003233619138496671,0.00032153,0.0003233619138496551,0.000321532,0.0003233619138496972,0.00032153,7.657484353643295e-5,8.6874e-5,0.0003233619138497253,0.000321528,1.5038940804476095e-5,1.73869e-5,0.0003233619138496647,0.000321521,0.00032336190378968896,0.000321557,4.9480255153564215e-6,5.83407e-6,0.00015329235631040153,0.000167556,2.0375387411887573e-6,2.50184e-6,0.00032332648523477746,0.000321401,0.0003211319424494481,0.000317215,3.554687172798724e-5,4.08018e-5,-0.0,1.1298e-6,5.26137375863095e-5,6.01329e-5,0.00032336191384964194,0.000321529
3.4363656110887906e-5,0.00024273941398495798,0.000248648,2.060367418383083e-5,2.32328e-5,0.0003235560706040744,0.000321742,0.00029163660626361696,0.000289975,0.0003235560706043345,0.000321739,7.979780266023578e-6,9.08737e-6,9.673804719641111e-5,0.000107034,0.00018657779109185966,0.000197858,0.0003235560706043462,0.00032174,0.0003235560706043546,0.000321741,0.0003235560706043506,0.000321746,0.00032355607060437837,0.000321741,6.734425825714212e-5,7.5164e-5,0.0003235560706043985,0.000321738,1.3181775871106262e-5,1.49176e-5,0.0003235560706030428,0.000321723,0.000323555668639115,0.000321821,4.336480917301638e-6,5.0042e-6,0.00013636046015647467,0.000148469,1.7856906723901825e-6,2.14592e-6,0.00032332877869104107,0.000321106,0.0003177482611465708,0.000313504,3.1176135446093985e-5,3.50608e-5,-0.0,9.69072e-7,4.618558445817695e-5,5.17892e-5,0.0003235560706043366,0.00032174
4.320691998125084e-5,0.00022505483621190907,0.000232271,1.8383913747302195e-5,2.04509e-5,0.0003237462827302839,0.000321942,0.0002781258391360315,0.00027844,0.00032374628273051524,0.000321948,7.118747909204983e-6,7.99644e-6,8.6725860768537e-5,9.51489e-5,0.00016985330627753537,0.00018054,0.0003237462827305279,0.000321947,0.0003237462827305325,0.000321945,0.0003237462827305281,0.000321949,0.000323746282730551,0.000321946,6.0217908384088154e-5,6.64645e-5,0.00032374628273056864,0.000321945,1.1760104474470471e-5,1.31281e-5,0.0003237462825280255,0.000321929,0.00032374131123715286,0.000322069,3.86847779292051e-6,4.4033e-6,0.00012288703653162407,0.000133282,1.5929619952773289e-6,1.88824e-6,0.00032293179633329676,0.000320263,0.0003124649423361971,0.000308427,2.78251967347534e-5,3.08807e-5,-0.0,8.52705e-7,4.1246206934409974e-5,4.5673e-5,0.000323746282730518,0.000321946
5.30545910178117e-5,0.0002090746555473853,0.000216996,1.659764891735361e-5,1.8292e-5,0.0003239364202980065,0.000322142,0.00026431733701082487,0.000266382,0.0003239364202982019,0.000322155,6.426197437356308e-6,7.15079e-6,7.856819870034375e-5,8.56532e-5,0.0001556216801411746,0.000165586,0.0003239364202982169,0.000322154,0.0003239364202982164,0.000322149,0.00032393642029821245,0.000322146,0.0003239364202982321,0.000322149,5.445119941937684e-5,5.96212e-5,0.00032393642029824725,0.000322153,1.0616450891634333e-5,1.17404e-5,0.00032393641249756956,0.000322155,0.0003239053940472923,0.000322239,3.492073193117113e-6,3.93758e-6,0.00011175235348505367,0.000120794,1.4379577696062904e-6,1.68852e-6,0.00032186039546628535,0.000318716,0.0003054937622925419,0.000302117,2.512669385545906e-5,2.76309e-5,-0.0,7.62518e-7,3.7262328749569e-5,4.08997e-5,0.000323936420298207,0.000322152
6.406033170617383e-5,0.00019458915412444558,0.000202831,1.5110935557224528e-5,1.65412e-5,0.00032412908857081836,0.000322349,0.0002506109150222066,0.000254132,0.0003241290885709764,0.000322362,5.849988505017803e-6,6.46545e-6,7.171619621425103e-5,7.78034e-5,0.00014327951039756062,0.000152515,0.0003241290885709917,0.000322361,0.00032412908857098755,0.000322355,0.0003241290885708596,0.00032234,0.00032412908857100094,0.000322354,4.963182722067738e-5,5.40226e-5,0.00032412908857101417,0.000322365,9.664817610515333e-6,1.06156e-5,0.0003241289644061213,0.000322409,0.00032400400111522453,0.00032224,3.178914472403926e-6,3.56016e-6,0.00010230163682524244,0.000110264,1.3090002929628282e-6,1.52668e-6,0.00031987508213054543,0.000316361,0.0002971473055743253,0.000294749,2.2879517213894515e-5,2.49923e-5,-0.0,6.89433e-7,3.394094779373243e-5,3.70146e-5,0.0003241290885709821,0.00032236
7.638864126824696e-5,0.0001814050156402653,0.00018972,1.3843328298134715e-5,1.50768e-5,0.00032432619798821507,0.000322567,0.0002372380804028488,0.000241919,0.0003243261979883377,0.00032257,5.3588312185278555e-6,5.8925e-6,6.583302960696108e-5,7.11492e-5,0.00013242010604601245,0.000140966,0.0003243261979883537,0.000322569,0.00032432619798834674,0.000322568,0.0003243261979786696,0.000322539,0.00032432619798835764,0.000322565,4.5509809548756895e-5,4.93116e-5,0.0003243261979883697,0.000322578,8.853584184992047e-6,9.6751e-6,0.00032432511485582687,0.000322685,0.0003239517622496983,0.000321969,2.911988636806172e-6,3.24465e-6,9.412213574016251e-5,0.000101206,1.1990826059770366e-6,1.39138e-6,0.00031681729042476155,0.000313137,0.00028775025509137584,0.00028651,2.0962734893089718e-5,2.27838e-5,-0.0,6.28338e-7,3.110541081135204e-5,3.37572e-5,0.0003243261979883443,0.00032257
9.021887377795633e-5,0.00016935704827812789,0.000177586,1.2742965296419318e-5,1.38242e-5,0.0003245292613065455,0.000322792,0.00022433076437531398,0.000229904,0.00032452926130663485,0.000322782,4.932565954828628e-6,5.40258e-6,6.069791362201178e-5,6.5401e-5,0.00012275738562210993,0.000130667,0.0003245292613066517,0.000322783,0.00032452926130664217,0.000322787,0.0003245292609950094,0.000322754,0.0003245292613066516,0.000322784,4.192280285676609e-5,4.52642e-5,0.0003245292613066619,0.000322793,8.14948605047746e-6,8.87083e-6,0.0003245231106658763,0.000322961,0.00032362336251163084,0.000321321,2.6803353020753757e-6,2.97488e-6,8.69376785901718e-5,9.32962e-5,1.10369069309243e-6,1.2757e-6,0.00031261984769115803,0.000309029,0.0002775999036310495,0.000277586,1.9298310279457056e-5,2.08936e-5,-0.0,5.76098e-7,2.8641492421195642e-5,3.0966e-5,0.0003245292613066423,0.000322786
