x	N1	N2	N8	N14	N20	N26	N32	N38	N44	N50	N56	N62	N68	N74	N80	N86	N92	N98	N104	N110	N116	N122	N128	N134	N140	N146
0.01	9.48259e-05	9.4826e-05	9.4826e-05	9.4826e-05	9.4826e-05	9.4826e-05	9.4826e-05	9.4826e-05	9.48261e-05	9.48257e-05	9.48279e-05	9.48022e-05	9.4403e-05	9.26097e-05	8.80315e-05	7.99105e-05	6.87744e-05	5.61126e-05	4.356e-05	3.2297e-05	2.28936e-05	1.54378e-05	9.73959e-06	5.49654e-06	2.39463e-06	1.09113e-06
0.02036	9.49164e-05	9.49165e-05	9.49165e-05	9.49164e-05	9.49165e-05	9.49164e-05	9.49165e-05	9.49164e-05	9.49167e-05	9.49154e-05	9.49243e-05	9.47314e-05	9.32147e-05	8.84135e-05	7.91382e-05	6.62642e-05	5.21086e-05	3.88934e-05	2.78606e-05	1.92993e-05	1.29522e-05	8.37212e-06	5.11692e-06	2.8221e-06	1.21097e-06	5.4699e-07
0.031381	9.49881e-05	9.49875e-05	9.49874e-05	9.49878e-05	9.49876e-05	9.49878e-05	9.49876e-05	9.49879e-05	9.49872e-05	9.49891e-05	9.4988e-05	9.43511e-05	9.11199e-05	8.32509e-05	7.0849e-05	5.62743e-05	4.22583e-05	3.04517e-05	2.12965e-05	1.45339e-05	9.67088e-06	6.22254e-06	3.79446e-06	2.09055e-06	8.9668e-07	4.04968e-07
0.0433274	9.50518e-05	9.50506e-05	9.50504e-05	9.50511e-05	9.50508e-05	9.50511e-05	9.50505e-05	9.50519e-05	9.50481e-05	9.50623e-05	9.49834e-05	9.35703e-05	8.8336e-05	7.79078e-05	6.37738e-05	4.89645e-05	3.58626e-05	2.54307e-05	1.76197e-05	1.19646e-05	7.94117e-06	5.10342e-06	3.11033e-06	1.71323e-06	7.34779e-07	3.3184e-07
0.0564444	9.51106e-05	9.51104e-05	9.51104e-05	9.51105e-05	9.51104e-05	9.51107e-05	9.511e-05	9.51118e-05	9.51055e-05	9.5137e-05	9.48543e-05	9.23631e-05	8.51023e-05	7.27462e-05	5.78104e-05	4.33889e-05	3.13089e-05	2.20095e-05	1.51784e-05	1.02826e-05	6.817e-06	4.37866e-06	2.66799e-06	1.46944e-06	6.30198e-07	2.84606e-07
0.07097	9.5167e-05	9.51691e-05	9.51693e-05	9.51682e-05	9.51686e-05	9.51683e-05	9.51686e-05	9.51688e-05	9.51652e-05	9.52017e-05	9.45459e-05	9.07521e-05	8.16087e-05	6.78999e-05	5.27399e-05	3.89568e-05	2.78398e-05	1.94666e-05	1.33879e-05	9.05739e-06	6.00089e-06	3.85332e-06	2.34759e-06	1.29291e-06	5.54479e-07	2.50409e-07
0.0871454	9.52238e-05	9.52272e-05	9.52276e-05	9.52256e-05	9.52267e-05	9.52256e-05	9.52274e-05	9.52237e-05	9.52316e-05	9.52347e-05	9.40159e-05	8.87847e-05	7.79906e-05	6.3402e-05	4.83702e-05	3.53141e-05	2.50673e-05	1.74655e-05	1.19901e-05	8.10465e-06	5.36746e-06	3.44594e-06	2.09923e-06	1.15609e-06	4.95796e-07	2.23906e-07
0.105223	9.52828e-05	9.52853e-05	9.52856e-05	9.5284e-05	9.52851e-05	9.52836e-05	9.52869e-05	9.52783e-05	9.53057e-05	9.52074e-05	9.32373e-05	8.6518e-05	7.43407e-05	5.92448e-05	4.45551e-05	3.22422e-05	2.27746e-05	1.58277e-05	1.08521e-05	7.33094e-06	4.85367e-06	3.11568e-06	1.89793e-06	1.04521e-06	4.48242e-07	2.0243e-07
0.125473	9.53445e-05	9.5344e-05	9.5344e-05	9.5344e-05	9.53445e-05	9.53432e-05	9.53467e-05	9.53353e-05	9.53839e-05	9.50882e-05	9.21978e-05	8.40102e-05	7.07217e-05	5.5406e-05	4.11862e-05	2.95997e-05	2.08304e-05	1.44491e-05	9.89765e-06	6.68322e-06	4.42391e-06	2.83955e-06	1.72966e-06	9.5252e-07	4.0849e-07	1.84478e-07
0.14819	9.54081e-05	9.54042e-05	9.54039e-05	9.54058e-05	9.54052e-05	9.54052e-05	9.54067e-05	9.53977e-05	9.54579e-05	9.48463e-05	9.08973e-05	8.13164e-05	6.71758e-05	5.18589e-05	3.81828e-05	2.72913e-05	1.91503e-05	1.32644e-05	9.07962e-06	6.12879e-06	4.05628e-06	2.60339e-06	1.58576e-06	8.73267e-07	3.74501e-07	1.69128e-07
0.173699	9.54727e-05	9.54671e-05	9.54664e-05	9.54697e-05	9.54679e-05	9.54698e-05	9.54672e-05	9.54678e-05	9.55143e-05	9.44536e-05	8.93457e-05	7.84866e-05	6.37306e-05	4.85775e-05	3.54839e-05	2.525e-05	1.76771e-05	1.22299e-05	8.36685e-06	5.64617e-06	3.73641e-06	2.39796e-06	1.4606e-06	8.04333e-07	3.44938e-07	1.55777e-07
0.202358	9.55379e-05	9.5533e-05	9.55323e-05	9.55356e-05	9.55331e-05	9.55369e-05	9.5529e-05	9.55469e-05	9.55354e-05	9.38869e-05	8.75599e-05	7.55649e-05	6.04042e-05	4.55371e-05	3.30424e-05	2.34273e-05	1.63705e-05	1.13154e-05	7.73777e-06	5.22055e-06	3.45441e-06	2.21689e-06	1.35028e-06	7.43579e-07	3.18883e-07	1.4401e-07
0.234571	9.56043e-05	9.56025e-05	9.56019e-05	9.56039e-05	9.56015e-05	9.56064e-05	9.55937e-05	9.56338e-05	9.55008e-05	9.3129e-05	8.55623e-05	7.25894e-05	5.72073e-05	4.27158e-05	3.08214e-05	2.17868e-05	1.52008e-05	1.0499e-05	7.17686e-06	4.84129e-06	3.20321e-06	2.0556e-06	1.25203e-06	6.89468e-07	2.95677e-07	1.3353e-07
0.270786	9.56731e-05	9.56752e-05	9.56752e-05	9.56748e-05	9.56735e-05	9.56779e-05	9.56633e-05	9.57247e-05	9.5388e-05	9.21687e-05	8.33784e-05	6.95927e-05	5.41459e-05	4.00938e-05	2.87916e-05	2.03006e-05	1.41458e-05	9.76422e-06	6.6726e-06	4.5005e-06	2.97753e-06	1.91073e-06	1.16377e-06	6.40865e-07	2.74834e-07	1.24117e-07
0.311506	9.57456e-05	9.57513e-05	9.57517e-05	9.5749e-05	9.57495e-05	9.57513e-05	9.57398e-05	9.58127e-05	9.5174e-05	9.10008e-05	8.10356e-05	6.6602e-05	5.12223e-05	3.76536e-05	2.6929e-05	1.89468e-05	1.31883e-05	9.09859e-06	6.21618e-06	4.19217e-06	2.77339e-06	1.77969e-06	1.08395e-06	5.96907e-07	2.55982e-07	1.15603e-07
0.357297	9.58231e-05	9.58304e-05	9.58314e-05	9.58268e-05	9.58296e-05	9.5827e-05	9.58252e-05	9.58877e-05	9.48367e-05	8.96262e-05	7.85621e-05	6.36399e-05	4.84366e-05	3.53795e-05	2.52139e-05	1.77079e-05	1.23149e-05	8.49229e-06	5.80075e-06	3.91162e-06	2.58768e-06	1.66048e-06	1.01134e-06	5.56919e-07	2.38833e-07	1.07859e-07
0.408792	9.59065e-05	9.59127e-05	9.5914e-05	9.59089e-05	9.59137e-05	9.59056e-05	9.59204e-05	9.59362e-05	9.43562e-05	8.80508e-05	7.59856e-05	6.07247e-05	4.57867e-05	3.32577e-05	2.36301e-05	1.65699e-05	1.15146e-05	7.93748e-06	5.42082e-06	3.65512e-06	2.41791e-06	1.55152e-06	9.44964e-07	5.20368e-07	2.23158e-07	1.0078e-07
0.466704	9.59957e-05	9.59987e-05	9.6e-05	9.59959e-05	9.60017e-05	9.59885e-05	9.60248e-05	9.5942e-05	9.37155e-05	8.62853e-05	7.33326e-05	5.78713e-05	4.32697e-05	3.12758e-05	2.21638e-05	1.5521e-05	1.07787e-05	7.4278e-06	5.07198e-06	3.41967e-06	2.26208e-06	1.45151e-06	8.84047e-07	4.86822e-07	2.08772e-07	9.42833e-08
0.5	9.60456e-05	9.60463e-05	9.60474e-05	9.60442e-05	9.60503e-05	9.60347e-05	9.60836e-05	9.5929e-05	9.33188e-05	8.52783e-05	7.18842e-05	5.63547e-05	4.1953e-05	3.02482e-05	2.14071e-05	1.4981e-05	1.04002e-05	7.16586e-06	4.89274e-06	3.29871e-06	2.18203e-06	1.40013e-06	8.52756e-07	4.69591e-07	2.01383e-07	9.0946e-08
0.572105	9.61465e-05	9.61426e-05	9.6143e-05	9.61428e-05	9.61473e-05	9.61307e-05	9.62014e-05	9.58269e-05	9.23669e-05	8.31706e-05	6.90658e-05	5.35293e-05	3.95609e-05	2.84068e-05	2.00607e-05	1.40236e-05	9.73041e-06	6.70266e-06	4.57593e-06	3.08494e-06	2.04058e-06	1.30935e-06	7.97463e-07	4.39142e-07	1.88325e-07	8.50489e-08
0.649789	9.62476e-05	9.62403e-05	9.62398e-05	9.62429e-05	9.62441e-05	9.62316e-05	9.63127e-05	9.56381e-05	9.12714e-05	8.10052e-05	6.63474e-05	5.09046e-05	3.73861e-05	2.6752e-05	1.8858e-05	1.3171e-05	9.13477e-06	6.29103e-06	4.29448e-06	2.89506e-06	1.91494e-06	1.22873e-06	7.48356e-07	4.12099e-07	1.76728e-07	7.98117e-08
0.731936	9.63468e-05	9.63383e-05	9.63368e-05	9.63428e-05	9.63394e-05	9.63363e-05	9.64091e-05	9.53611e-05	9.00678e-05	7.88421e-05	6.37755e-05	4.85005e-05	3.54303e-05	2.52783e-05	1.77923e-05	1.24174e-05	8.60895e-06	5.92787e-06	4.04624e-06	2.72761e-06	1.80415e-06	1.15763e-06	7.05052e-07	3.88253e-07	1.66501e-07	7.51933e-08
0.817654	9.64432e-05	9.64357e-05	9.64334e-05	9.64412e-05	9.64329e-05	9.64437e-05	9.64839e-05	9.49999e-05	8.87894e-05	7.6723e-05	6.13715e-05	4.63147e-05	3.36796e-05	2.397e-05	1.68502e-05	1.17525e-05	8.14553e-06	5.60796e-06	3.82762e-06	2.58016e-06	1.70659e-06	1.09503e-06	6.66923e-07	3.67256e-07	1.57497e-07	7.11268e-08
0.906228	9.65365e-05	9.65317e-05	9.6529e-05	9.65374e-05	9.65244e-05	9.65523e-05	9.65317e-05	9.45626e-05	8.74653e-05	7.46748e-05	5.91404e-05	4.43339e-05	3.21139e-05	2.28081e-05	1.60165e-05	1.11652e-05	7.73649e-06	5.3257e-06	3.63476e-06	2.45009e-06	1.62055e-06	1.03981e-06	6.33292e-07	3.48736e-07	1.49555e-07	6.75401e-08
0.997088	9.6627e-05	9.66258e-05	9.6623e-05	9.66309e-05	9.66143e-05	9.66604e-05	9.65493e-05	9.40591e-05	8.61192e-05	7.27134e-05	5.70778e-05	4.25399e-05	3.07118e-05	2.17738e-05	1.52765e-05	1.06446e-05	7.37423e-06	5.07581e-06	3.46405e-06	2.33497e-06	1.54439e-06	9.9094e-07	6.03527e-07	3.32346e-07	1.42525e-07	6.43657e-08
1	9.66299e-05	9.66288e-05	9.6626e-05	9.66339e-05	9.66172e-05	9.66639e-05	9.65498e-05	9.40429e-05	8.6076e-05	7.26507e-05	5.70119e-05	4.24826e-05	3.0667e-05	2.17408e-05	1.52529e-05	1.0628e-05	7.36268e-06	5.06784e-06	3.45861e-06	2.3313e-06	1.54196e-06	9.89381e-07	6.02577e-07	3.31823e-07	1.42301e-07	6.42644e-08
1.09415	9.67192e-05	9.67219e-05	9.67195e-05	9.67256e-05	9.67071e-05	9.67714e-05	9.65337e-05	9.34727e-05	8.47065e-05	7.07608e-05	5.50875e-05	4.08397e-05	2.9396e-05	2.08081e-05	1.45873e-05	1.01605e-05	7.0375e-06	4.8436e-06	3.30544e-06	2.22801e-06	1.47363e-06	9.45537e-07	5.75874e-07	3.17118e-07	1.35995e-07	6.14165e-08
1.19041	9.6807e-05	9.6813e-05	9.68114e-05	9.6815e-05	9.67965e-05	9.68756e-05	9.64837e-05	9.28519e-05	8.33402e-05	6.89603e-05	5.33033e-05	3.934e-05	2.82455e-05	1.99676e-05	1.39889e-05	9.7405e-06	6.74557e-06	4.64234e-06	3.16798e-06	2.13533e-06	1.41232e-06	9.06194e-07	5.51912e-07	3.03922e-07	1.30336e-07	5.8861e-08
1.28932	9.68941e-05	9.69027e-05	9.69021e-05	9.69025e-05	9.68863e-05	9.69757e-05	9.63989e-05	9.21837e-05	8.19771e-05	6.72363e-05	5.16359e-05	3.79577e-05	2.7193e-05	1.92015e-05	1.34445e-05	9.35881e-06	6.48037e-06	4.45954e-06	3.04315e-06	2.05116e-06	1.35664e-06	8.70468e-07	5.30153e-07	2.9194e-07	1.25198e-07	5.65404e-08
1.39135	9.69813e-05	9.69914e-05	9.69921e-05	9.69889e-05	9.69773e-05	9.70706e-05	9.62785e-05	9.14712e-05	8.06177e-05	6.55793e-05	5.00679e-05	3.66737e-05	2.62217e-05	1.84969e-05	1.29446e-05	9.00864e-06	6.23716e-06	4.29194e-06	2.9287e-06	1.97399e-06	1.3056e-06	8.37715e-07	5.10205e-07	2.80955e-07	1.20487e-07	5.4413e-08
1.49688	9.7069e-05	9.70795e-05	9.70816e-05	9.70746e-05	9.70698e-05	9.71589e-05	9.61216e-05	9.07172e-05	7.92628e-05	6.39823e-05	4.85861e-05	3.54736e-05	2.53191e-05	1.78442e-05	1.24822e-05	8.68495e-06	6.01242e-06	4.13708e-06	2.82297e-06	1.90271e-06	1.25845e-06	8.07459e-07	4.91777e-07	2.70808e-07	1.16135e-07	5.24477e-08
1.60628	9.71576e-05	9.71673e-05	9.71708e-05	9.716e-05	9.71642e-05	9.72391e-05	9.59275e-05	8.99242e-05	7.79133e-05	6.24396e-05	4.71801e-05	3.43463e-05	2.44758e-05	1.72359e-05	1.20519e-05	8.38388e-06	5.80345e-06	3.99312e-06	2.72468e-06	1.83644e-06	1.21461e-06	7.79333e-07	4.74647e-07	2.61375e-07	1.1209e-07	5.06208e-08
1.71985	9.72472e-05	9.7255e-05	9.72599e-05	9.72456e-05	9.72606e-05	9.73098e-05	9.56959e-05	8.90951e-05	7.65703e-05	6.0947e-05	4.58418e-05	3.32829e-05	2.3684e-05	1.66662e-05	1.16493e-05	8.10242e-06	5.60815e-06	3.85859e-06	2.63283e-06	1.77452e-06	1.17366e-06	7.53054e-07	4.58641e-07	2.52561e-07	1.0831e-07	4.89138e-08
1.83792	9.73379e-05	9.7343e-05	9.73491e-05	9.73317e-05	9.73591e-05	9.73692e-05	9.54265e-05	8.82324e-05	7.5235e-05	5.95011e-05	4.45648e-05	3.22765e-05	2.29379e-05	1.61305e-05	1.12712e-05	7.83818e-06	5.42485e-06	3.73233e-06	2.54664e-06	1.71642e-06	1.13523e-06	7.28393e-07	4.43622e-07	2.4429e-07	1.04763e-07	4.7312e-08
1.96074	9.74295e-05	9.74314e-05	9.74384e-05	9.74186e-05	9.74594e-05	9.74157e-05	9.5119e-05	8.73387e-05	7.39087e-05	5.8099e-05	4.33434e-05	3.13212e-05	2.22325e-05	1.5625e-05	1.09147e-05	7.58921e-06	5.25218e-06	3.61342e-06	2.46547e-06	1.6617e-06	1.09903e-06	7.05169e-07	4.29477e-07	2.36501e-07	1.01423e-07	4.58035e-08
