x	N176
0.01	-0.000360277
0.02036	-0.000544777
0.031381	-0.000690004
0.0433274	-0.000818957
0.0564444	-0.000940356
0.07097	-0.0010586
0.0871454	-0.00117631
0.105223	-0.00129521
0.125473	-0.00141655
0.14819	-0.00154131
0.173699	-0.00167029
0.202358	-0.00180422
0.234571	-0.00194374
0.270786	-0.00208949
0.311506	-0.00224207
0.357297	-0.00240209
0.408792	-0.00257015
0.466704	-0.0027469
0.5	-0.0028449
0.572105	-0.00304325
0.649789	-0.00324369
0.731936	-0.00344328
0.817654	-0.00364018
0.906228	-0.00383329
0.997088	-0.00402198
1.08978	-0.00420594
1.18393	-0.00438506
1.27925	-0.00455938
1.3755	-0.00472901
1.47251	-0.00489411
1.5	-0.00494044
1.59808	-0.00510049
1.69753	-0.00525784
1.79906	-0.0054138
1.90328	-0.00556936
2.01069	-0.00572526
2.12172	-0.00588208
2.23676	-0.00604026
2.35616	-0.00620016
2.48025	-0.00636206
2.60932	-0.00652619
2.74366	-0.00669275
2.88358	-0.00686191
3.02935	-0.0070338
3.18126	-0.00720856
3.33959	-0.0073863
3.50466	-0.00756715
3.67676	-0.0077512
3.85621	-0.00793856
4.04333	-0.00812932
4.23846	-0.00832358
4.44195	-0.00852145
4.65416	-0.008723
4.87547	-0.00892835
5.10627	-0.00913758
5.34697	-0.0093508
5.59801	-0.00956811
5.85981	-0.00978959
6.13286	-0.0100154
6.41762	-0.0102455
6.71461	-0.0104802
7.02434	-0.0107194
7.34738	-0.0109634
7.68427	-0.0112121
8.03564	-0.0114658
8.40208	-0.0117246
8.78426	-0.0119885
9.18285	-0.0122577
9.59854	-0.0125322
10.0321	-0.0128123
10.4842	-0.0130981
10.9558	-0.0133896
11.4476	-0.013687
11.9605	-0.0139904
12.4955	-0.0143
13.0534	-0.0146159
13.6353	-0.0149383
14.2421	-0.0152672
14.875	-0.0156029
15.5351	-0.0159454
16.2235	-0.016295
16.9414	-0.0166518
17.6902	-0.0170159
18.4711	-0.0173876
19.2856	-0.0177669
20.135	-0.0181541
21.0209	-0.0185492
21.9448	-0.0189526
22.9084	-0.0193644
23.9133	-0.0197847
24.9614	-0.0202137
26.0545	-0.0206517
27.1945	-0.0210991
28.3835	-0.0215555
29.6235	-0.0220214
30.9167	-0.022497
32.2655	-0.0229825
33.6721	-0.0234781
35.1392	-0.0239841
36.6692	-0.0245006
38.2649	-0.025028
39.9291	-0.0255664
41.6648	-0.0261161
43.475	-0.0266774
45.3629	-0.0272505
47.3318	-0.0278357
49.3853	-0.0284334
51.5269	-0.0290437
53.7605	-0.0296669
56.09	-0.0303035
58.5194	-0.0309538
61.0532	-0.0316176
63.6958	-0.0322955
66.4518	-0.0329876
69.3261	-0.0336941
72.3238	-0.0344153
75.4502	-0.0351513
78.7108	-0.0359021
82.1114	-0.0366678
85.658	-0.0374484
89.3569	-0.0382437
93.2146	-0.0390536
97.2378	-0.0398782
101.434	-0.0407165
105.81	-0.0415684
110.374	-0.0424335
115.134	-0.043311
120.098	-0.0442003
125.276	-0.0451005
130.675	-0.0460108
136.307	-0.0469302
142.18	-0.0478576
148.305	-0.0487915
154.694	-0.0497306
161.357	-0.0506736
168.305	-0.0516189
175.552	-0.0525648
183.11	-0.0535098
190.993	-0.0544519
199.214	-0.0553896
207.788	-0.0563205
216.73	-0.0572428
226.056	-0.0581545
235.782	-0.0590537
245.926	-0.0599384
256.505	-0.0608065
267.539	-0.0616563
279.046	-0.0624854
291.047	-0.0632922
303.564	-0.064075
316.618	-0.064832
330.232	-0.0655618
344.43	-0.0662628
359.239	-0.066934
374.683	-0.0675743
390.79	-0.0681825
407.588	-0.0687581
425.108	-0.0693006
443.38	-0.0698097
462.436	-0.0702855
482.31	-0.0707279
503.038	-0.0711375
524.655	-0.0715147
547.201	-0.0718604
570.714	-0.0721755
595.237	-0.0724611
620.813	-0.0727185
647.486	-0.0729494
675.305	-0.0731548
704.318	-0.0733366
734.577	-0.0734964
766.135	-0.073636
799.047	-0.073757
833.373	-0.0738612
869.172	-0.0739502
906.508	-0.0740256
945.447	-0.0740891
986.057	-0.074142
1028.41	-0.0741858
1072.58	-0.0742216
1118.65	-0.0742508
1166.7	-0.0742742
1216.81	-0.0742929
1269.07	-0.0743076
1323.57	-0.0743191
1380.42	-0.0743279
1439.7	-0.0743347
1501.53	-0.0743398
1566.01	-0.0743436
1633.27	-0.0743465
1703.41	-0.0743485
1776.56	-0.07435
1852.85	-0.074351
1932.41	-0.0743517
2015.39	-0.0743522
2101.94	-0.0743526
2192.2	-0.0743528
2286.33	-0.074353
2384.51	-0.0743531
2400	-0.0743531
