x	N1	N8	N15	N22	N29	N36	N43	N50	N57	N64	N71	N78	N85	N92	N99	N106	N113	N120	N127	N134	N141	N148	N155	N162	N169	N176
0.01	0.000397753	0.000397753	0.000397753	0.000397753	0.000397753	0.000397753	0.000397753	0.000397752	0.000397756	0.000397716	0.000396598	0.000390706	0.000374226	0.000343186	0.000298882	0.000247175	0.000195071	0.000147865	0.000108234	7.67154e-05	5.25869e-05	3.46045e-05	2.14524e-05	1.19587e-05	5.16873e-06	2.34456e-06
0.02036	0.000397753	0.000397753	0.000397753	0.000397753	0.000397753	0.000397752	0.000397754	0.000397747	0.000397781	0.000397355	0.000392683	0.000375779	0.000340376	0.000288597	0.000229738	0.000173681	0.000126349	8.93958e-05	6.19104e-05	4.20411e-05	2.79047e-05	1.79325e-05	1.09282e-05	6.01888e-06	2.58116e-06	1.16562e-06
0.031381	0.000397753	0.000397753	0.000397753	0.000397753	0.000397753	0.000397752	0.000397754	0.000397747	0.000397807	0.000396142	0.000385466	0.000356347	0.000307154	0.000246792	0.00018726	0.000136436	9.67732e-05	6.73959e-05	4.62493e-05	3.12507e-05	2.06901e-05	1.32799e-05	8.08846e-06	4.45388e-06	1.90989e-06	8.62471e-07
0.0433274	0.000397753	0.000397753	0.000397752	0.000397753	0.000397752	0.000397755	0.000397747	0.00039777	0.000397711	0.000393611	0.000375386	0.000335379	0.000277859	0.000215455	0.000159206	0.000114027	8.0079e-05	5.54746e-05	3.79674e-05	2.56221e-05	1.69538e-05	1.08791e-05	6.62566e-06	3.64831e-06	1.56445e-06	7.06481e-07
0.0564444	0.000397753	0.000397753	0.000397752	0.000397754	0.00039775	0.000397759	0.000397734	0.000397828	0.00039729	0.000389516	0.000363203	0.000314518	0.000252654	0.000191233	0.000139074	9.86895e-05	6.8968e-05	4.76604e-05	3.25812e-05	2.19757e-05	1.45377e-05	9.32795e-06	5.6808e-06	3.12803e-06	1.34135e-06	6.05738e-07
0.07097	0.000397753	0.000397753	0.000397752	0.000397753	0.00039775	0.000397759	0.000397727	0.000397896	0.000396318	0.000383817	0.00034963	0.000294512	0.000230934	0.000171831	0.000123675	8.72681e-05	6.0812e-05	4.19662e-05	2.86704e-05	1.93324e-05	1.27877e-05	8.20471e-06	4.99669e-06	2.75135e-06	1.17983e-06	5.328e-07
0.0871454	0.000397753	0.000397753	0.000397753	0.000397752	0.000397753	0.000397753	0.00039774	0.00039791	0.000394594	0.000376612	0.000335231	0.000275654	0.000212047	0.00015581	0.000111343	7.82716e-05	5.44422e-05	3.75377e-05	2.56348e-05	1.72826e-05	1.1431e-05	7.33412e-06	4.46649e-06	2.45942e-06	1.05465e-06	4.76271e-07
0.105223	0.000397753	0.000397752	0.000397754	0.00039775	0.000397759	0.000397739	0.000397784	0.000397774	0.000391966	0.000368069	0.000320428	0.000258023	0.000195454	0.00014226	0.000101131	7.09052e-05	4.92553e-05	3.39411e-05	2.31725e-05	1.56208e-05	1.03315e-05	6.62859e-06	4.03682e-06	2.22284e-06	9.53206e-07	4.3046e-07
0.125473	0.000397753	0.000397752	0.000397754	0.000397748	0.000397764	0.000397722	0.000397856	0.000397372	0.000388334	0.000358389	0.000305525	0.000241599	0.000180737	0.000130582	9.2466e-05	6.47032e-05	4.49052e-05	3.09303e-05	2.1113e-05	1.42314e-05	9.41227e-06	6.0388e-06	3.67765e-06	2.02507e-06	8.68403e-07	3.92165e-07
0.14819	0.000397753	0.000397752	0.000397754	0.000397748	0.000397765	0.000397712	0.000397938	0.000396578	0.000383652	0.000347782	0.000290744	0.000226323	0.000167576	0.000120367	8.49747e-05	5.93728e-05	4.11769e-05	2.83532e-05	1.93512e-05	1.30432e-05	8.62625e-06	5.53448e-06	3.37053e-06	1.85597e-06	7.9589e-07	3.59419e-07
