x	N146
0.01	0.0623412
0.02036	0.0623124
0.031381	0.0622898
0.0433274	0.0622696
0.0564444	0.0622507
0.07097	0.0622322
0.0871454	0.0622138
0.105223	0.0621953
0.125473	0.0621763
0.14819	0.0621568
0.173699	0.0621367
0.202358	0.0621157
0.234571	0.0620939
0.270786	0.0620711
0.311506	0.0620472
0.357297	0.0620222
0.408792	0.0619958
0.466704	0.0619681
0.5	0.0619528
0.572105	0.0619217
0.649789	0.0618902
0.731936	0.0618589
0.817654	0.0618279
0.906228	0.0617976
0.997088	0.0617679
1	0.061767
1.09415	0.0617376
1.19041	0.0617089
1.28932	0.0616805
1.39135	0.0616524
1.49688	0.0616243
1.60628	0.0615962
1.71985	0.061568
1.83792	0.0615397
1.96074	0.0615111
2.08861	0.0614823
2.2218	0.0614533
2.36056	0.0614239
2.50518	0.0613941
2.65592	0.061364
2.81308	0.0613335
2.97693	0.0613026
3.14779	0.0612713
3.32595	0.0612394
3.51173	0.0612071
3.70548	0.0611744
3.90753	0.061141
4.11825	0.0611072
4.33801	0.0610728
4.56719	0.0610378
4.80621	0.0610022
5.05549	0.060966
5.31547	0.0609292
5.58661	0.0608918
5.86938	0.0608536
6.1643	0.0608148
6.47187	0.0607753
6.79265	0.060735
7.1272	0.060694
7.47611	0.0606522
7.84	0.0606096
8.21951	0.0605663
8.61531	0.0605221
9.02811	0.060477
9.45863	0.0604311
9.90763	0.0603843
10.3759	0.0603365
10.8643	0.0602878
11.3736	0.0602382
11.9048	0.0601875
12.4589	0.0601359
13.0367	0.0600832
13.6393	0.0600295
14.2678	0.0599746
14.9232	0.0599187
15.6068	0.0598616
16.3198	0.0598034
17.0633	0.0597439
17.8388	0.0596833
18.6476	0.0596214
19.4911	0.0595582
20.3708	0.0594937
21.2882	0.0594278
22.2451	0.0593606
23.243	0.059292
24.2838	0.059222
25.3693	0.0591505
26.5014	0.0590775
27.682	0.0590029
28.9134	0.0589268
30.1976	0.0588491
31.5369	0.0587698
32.9338	0.0586887
34.3906	0.058606
35.9099	0.0585215
37.4945	0.0584353
39.1471	0.0583472
40.8707	0.0582572
42.6683	0.0581653
44.543	0.0580715
46.4982	0.0579757
48.5373	0.0578779
50.664	0.057778
52.882	0.0576759
55.1953	0.0575717
57.6078	0.0574653
60.1239	0.0573567
62.748	0.0572457
65.4848	0.0571325
68.339	0.0570168
71.3158	0.0568987
74.4204	0.0567781
77.6583	0.056655
81.0352	0.0565293
84.5571	0.056401
88.2301	0.05627
92.0609	0.0561363
96.0561	0.0559998
100.223	0.0558606
104.568	0.0557185
109.101	0.0555735
113.827	0.0554256
118.757	0.0552748
123.898	0.0551209
129.26	0.054964
134.853	0.054804
140.685	0.054641
146.767	0.0544747
153.111	0.0543054
159.727	0.0541328
166.628	0.0539571
173.824	0.0537782
181.33	0.0535961
189.157	0.0534108
197.321	0.0532223
205.835	0.0530306
214.715	0.0528359
223.975	0.0526381
233.634	0.0524373
243.707	0.0522336
254.213	0.0520272
265.169	0.051818
276.596	0.0516064
288.513	0.0513923
300.943	0.0511761
313.905	0.0509579
327.425	0.0507379
341.524	0.0505165
356.229	0.0502938
371.565	0.0500703
387.56	0.0498461
404.241	0.0496217
421.639	0.0493974
439.783	0.0491736
458.707	0.0489508
478.442	0.0487292
499.025	0.0485094
520.492	0.0482918
542.88	0.0480769
566.229	0.047865
590.581	0.0476566
615.978	0.0474523
642.466	0.0472524
670.091	0.0470573
698.901	0.0468675
728.949	0.0466833
760.286	0.0465052
792.969	0.0463335
827.055	0.0461685
862.605	0.0460104
899.68	0.0458596
938.347	0.0457161
978.674	0.0455803
1020.73	0.0454521
1064.6	0.0453316
1110.34	0.0452189
1158.06	0.045114
1207.82	0.0450167
1259.71	0.0449269
1313.83	0.0448445
1370.28	0.0447692
1429.15	0.0447008
1490.55	0.044639
1554.58	0.0445834
1621.37	0.0445339
1691.02	0.0444899
1763.66	0.0444511
1839.42	0.0444171
1918.43	0.0443875
2000.83	0.044362
2086.77	0.0443401
2176.4	0.0443214
2269.88	0.0443057
2367.37	0.0442925
2400	0.0442884
