x	N152
0.01	-0.0645662
0.02036	-0.0645813
0.031381	-0.0645932
0.0433274	-0.0646038
0.0564444	-0.0646138
0.07097	-0.0646235
0.0871454	-0.0646332
0.105223	-0.064643
0.125473	-0.064653
0.14819	-0.0646633
0.173699	-0.0646739
0.202358	-0.0646849
0.234571	-0.0646965
0.270786	-0.0647085
0.311506	-0.0647212
0.357297	-0.0647344
0.408792	-0.0647483
0.466704	-0.0647629
0.5	-0.064771
0.572105	-0.0647874
0.649789	-0.064804
0.731936	-0.0648205
0.817654	-0.0648369
0.906228	-0.0648529
0.997088	-0.0648686
1	-0.0648691
1.09415	-0.0648846
1.19041	-0.0648998
1.28932	-0.0649148
1.39135	-0.0649297
1.49688	-0.0649445
1.60628	-0.0649594
1.71985	-0.0649742
1.83792	-0.0649892
1.96074	-0.0650043
2.08861	-0.0650195
2.2218	-0.0650348
2.36056	-0.0650503
2.50518	-0.065066
2.65592	-0.0650819
2.81308	-0.065098
2.97693	-0.0651143
3.14779	-0.0651308
3.32595	-0.0651476
3.51173	-0.0651647
3.70548	-0.065182
3.90753	-0.0651996
4.11825	-0.0652175
4.33801	-0.0652357
4.56719	-0.0652542
4.80621	-0.0652731
5.05549	-0.0652922
5.31547	-0.0653117
5.58661	-0.0653315
5.86938	-0.0653517
6.1643	-0.0653722
6.47187	-0.0653931
6.79265	-0.0654144
7.1272	-0.0654361
7.47611	-0.0654581
7.84	-0.0654806
8.21951	-0.0655036
8.61531	-0.0655269
9.02811	-0.0655507
9.45863	-0.065575
9.90763	-0.0655997
10.3759	-0.065625
10.8643	-0.0656507
11.3736	-0.0656769
11.9048	-0.0657037
12.4589	-0.065731
13.0367	-0.0657588
13.6393	-0.0657872
14.2678	-0.0658162
14.9232	-0.0658458
15.6068	-0.065876
16.3198	-0.0659069
17.0633	-0.0659384
17.8388	-0.0659705
18.6476	-0.0660033
19.4911	-0.0660368
20.3708	-0.066071
21.2882	-0.0661059
22.2451	-0.0661415
23.243	-0.0661779
24.2838	-0.066215
25.3693	-0.066253
26.5014	-0.0662917
27.682	-0.0663312
28.9134	-0.0663716
30.1976	-0.0664129
31.5369	-0.066455
32.9338	-0.066498
34.3906	-0.0665419
35.9099	-0.0665867
37.4945	-0.0666325
39.1471	-0.0666792
40.8707	-0.0667269
42.6683	-0.0667757
44.543	-0.0668254
46.4982	-0.0668763
48.5373	-0.0669282
50.664	-0.0669812
52.882	-0.0670353
55.1953	-0.0670906
57.6078	-0.0671471
60.1239	-0.0672047
62.748	-0.0672636
65.4848	-0.0673237
68.339	-0.0673851
71.3158	-0.0674478
74.4204	-0.0675119
77.6583	-0.0675773
81.0352	-0.067644
84.5571	-0.0677122
88.2301	-0.0677818
92.0609	-0.0678529
96.0561	-0.0679254
100.223	-0.0679995
104.568	-0.0680751
109.101	-0.0681522
113.827	-0.068231
118.757	-0.0683113
123.898	-0.0683932
129.26	-0.0684768
134.853	-0.0685621
140.685	-0.068649
146.767	-0.0687376
153.111	-0.0688279
159.727	-0.0689199
166.628	-0.0690137
173.824	-0.0691091
181.33	-0.0692063
189.157	-0.0693053
197.321	-0.0694059
205.835	-0.0695082
214.715	-0.0696122
223.975	-0.0697178
233.634	-0.0698251
243.707	-0.0699339
254.213	-0.0700441
265.169	-0.0701559
276.596	-0.0702689
288.513	-0.0703833
300.943	-0.0704988
313.905	-0.0706154
327.425	-0.0707329
341.524	-0.0708512
356.229	-0.0709701
371.565	-0.0710896
387.56	-0.0712093
404.241	-0.0713292
421.639	-0.071449
439.783	-0.0715685
458.707	-0.0716875
478.442	-0.0718058
499.025	-0.0719232
520.492	-0.0720394
542.88	-0.0721542
566.229	-0.0722674
590.581	-0.0723786
615.978	-0.0724877
642.466	-0.0725945
670.091	-0.0726986
698.901	-0.0727999
728.949	-0.0728982
760.286	-0.0729933
792.969	-0.073085
827.055	-0.073173
862.605	-0.0732574
899.68	-0.0733379
938.347	-0.0734145
978.674	-0.073487
1020.73	-0.0735554
1064.6	-0.0736196
1110.34	-0.0736798
1158.06	-0.0737358
1207.82	-0.0737877
1259.71	-0.0738356
1313.83	-0.0738796
1370.28	-0.0739198
1429.15	-0.0739563
1490.55	-0.0739892
1554.58	-0.0740189
1621.37	-0.0740453
1691.02	-0.0740688
1763.66	-0.0740895
1839.42	-0.0741076
1918.43	-0.0741234
2000.83	-0.074137
2086.77	-0.0741487
2176.4	-0.0741587
2269.88	-0.0741671
2367.37	-0.0741741
2400	-0.0741763
